id_municipality,municipality_name,postal_code
90032,Adrada de Haza,09462
92289,Moradillo de Roa,09462
91600,Hontangas,09462
92539,Pardilla,09462
91558,Haza,09463
93459,Santa Cruz de la Salceda,09471
91372,Fuentelcésped,09471
91412,Fuentespina,09471
90559,Brazacorta,09490
94831,Zazuar,09490
93370,San Juan del Monte,09490
94000,Vadocondes,09491
91314,Fresnillo de las Dueñas,09491
93879,Torregalindo,09493
90657,Campillo de Aranda,09493
91904,Junta de Villalba de Losa,09511
92175,Merindad de Valdivielso,09559
90256,Arija,09570
90124,Alfoz de Santa Gadea,09571
93272,Rublacedo de Abajo,09592
93288,Rucandio,09593
93291,Salas de Bureba,09593
90682,Cantabrana,09593
92447,Padrones de Bureba,09593
90063,Aguas Cándidas,09593
93581,Santo Domingo de Silos,09610
91059,Ciruelos de Cervera,09610
91221,Espinosa de Cervera,09610
90709,Carazo,09611
91545,Hacinas,09611
94509,Villanueva de Carazo,09611
92680,Pinilla de los Barruecos,09612
92019,Mamolar,09612
90623,Cabezón de la Sierra,09612
91448,La Gallega,09612
91101,Contreras,09613
92693,Pinilla de los Moros,09613
92236,Monasterio de la Sierra,09613
90389,Barbadillo del Mercado,09613
94786,Vizcaínos,09613
91736,Huerta de Arriba,09614
94141,Valle de Valdelaguna,09614
90392,Barbadillo del Pez,09614
90373,Barbadillo de Herreros,09615
93180,Riocavado de la Sierra,09615
92267,Monterrubio de la Demanda,09615
93787,Tejada,09616
93327,Saldaña de Burgos,09620
93620,Sarracín,09620
92215,Modúbar de la Emparedada,09620
93155,Revillarruz,09620
91849,Jaramillo Quemado,09640
91694,Hortigüela,09640
90780,Cascajares de la Sierra,09640
93403,San Millán de Lara,09640
91834,Jaramillo de la Fuente,09640
91195,Cuevas de San Clemente,09641
93885,Torrelara,09645
92485,Palazuelos de la Sierra,09649
94477,Villamiel de la Sierra,09649
90660,Campolara,09650
94496,Villanueva de Argaño,09652
93023,Rabanera del Pinar,09660
92899,Quintanar de la Sierra,09670
92328,Neila,09679
92463,Palacios de la Sierra,09680
94252,Vilviestre del Pinar,09690
92254,Moncalvillo,09691
90840,Castrillo de la Reina,09691
90676,Canicosa de la Sierra,09692
93095,Regumiel de la Sierra,09693
93168,Revilla Vallejera,34260
94173,Vallejera,34260
94461,Villamedianilla,34260
93060,Rebolledo de la Torre,34492
90119,Alfoz de Bricia,09233
90119,Alfoz de Bricia,09571
90119,Alfoz de Bricia,09572
90119,Alfoz de Bricia,39232
99070,Alfoz de Quintanadueñas,09131
99070,Alfoz de Quintanadueñas,09197
90183,Aranda de Duero,02410
90183,Aranda de Duero,09370
90183,Aranda de Duero,09400
90183,Aranda de Duero,09450
90200,Arauzo de Miel,09451
90200,Arauzo de Miel,09631
90238,Arcos,09195
90238,Arcos,09239
90452,Basconcillos del Tozo,09125
90452,Basconcillos del Tozo,09126
90452,Basconcillos del Tozo,09127
90487,Belorado,09248
90487,Belorado,09250
90487,Belorado,09258
90487,Belorado,09267
90487,Belorado,09272
90503,Berberana,01427
90503,Berberana,09511
90546,Bozoó,09214
90546,Bozoó,09219
90562,Briviesca,09240
90562,Briviesca,09245
90562,Briviesca,09248
90562,Briviesca,09249
90562,Briviesca,09292
90597,Burgos,09001
90597,Burgos,09002
90597,Burgos,09003
90597,Burgos,09004
90597,Burgos,09005
90597,Burgos,09006
90597,Burgos,09007
90597,Burgos,09192
90597,Burgos,09193
90597,Burgos,09199
90716,Carcedo de Bureba,09246
90716,Carcedo de Bureba,09592
90721,Carcedo de Burgos,09193
90721,Carcedo de Burgos,09194
90742,Cardeñajimeno,09193
90742,Cardeñajimeno,09199
90866,Castrillo del Val,09193
90866,Castrillo del Val,09198
90912,Castrojeriz,09109
90912,Castrojeriz,09110
90912,Castrojeriz,09119
91097,Condado de Treviño,01118
91097,Condado de Treviño,01211
91097,Condado de Treviño,09215
91097,Condado de Treviño,09216
91097,Condado de Treviño,09217
91097,Condado de Treviño,09218
91097,Condado de Treviño,09294
91139,Covarrubias,09346
91139,Covarrubias,09347
91209,Encío,09219
91209,Encío,09280
91242,Espinosa de los Monteros,09560
91242,Espinosa de los Monteros,09566
91242,Espinosa de los Monteros,09567
91242,Espinosa de los Monteros,09569
91255,Estépar,09230
91255,Estépar,09239
91638,Hontoria del Pinar,09619
91638,Hontoria del Pinar,09660
91741,Huerta de Rey,09430
91741,Huerta de Rey,09454
91754,Humada,09124
91754,Humada,09126
91720,Huérmeces,09125
91720,Huérmeces,09150
91773,Ibeas de Juarros,09128
91773,Ibeas de Juarros,09194
91773,Ibeas de Juarros,09198
91813,Isar,09133
91813,Isar,09653
91813,Isar,09654
91890,Junta de Traslaloma,09510
91890,Junta de Traslaloma,09514
91911,Jurisdicción de Lara,09640
91911,Jurisdicción de Lara,09651
93121,La Revilla y Ahedo,09163
93121,La Revilla y Ahedo,09613
94213,La Vid y Barrios,09471
94213,La Vid y Barrios,09491
91669,Las Hormazas,09133
91669,Las Hormazas,09150
91947,Lerma,09340
91947,Lerma,09341
91947,Lerma,09347
91947,Lerma,09348
91947,Lerma,09349
91947,Lerma,09384
90145,Los Altos,09146
90145,Los Altos,09551
90145,Los Altos,09559
90308,Los Ausines,09194
90308,Los Ausines,09351
90308,Los Ausines,09642
90434,Los Barrios de Bureba,09246
90434,Los Barrios de Bureba,09249
91979,Madrigalejo del Monte,09330
91979,Madrigalejo del Monte,09390
92002,Mambrillas de Lara,09640
92002,Mambrillas de Lara,09642
92096,Medina de Pomar,09500
92096,Medina de Pomar,09512
92096,Medina de Pomar,09513
92096,Medina de Pomar,09514
92096,Medina de Pomar,09515
92117,Melgar de Fernamental,09100
92117,Melgar de Fernamental,09108
92117,Melgar de Fernamental,09121
92138,Merindad de Cuesta-Urria,09212
92138,Merindad de Cuesta-Urria,09515
92138,Merindad de Cuesta-Urria,09549
92138,Merindad de Cuesta-Urria,09594
92143,Merindad de Montija,09514
92143,Merindad de Montija,09569
99064,Merindad de Río Ubierna,09140
99064,Merindad de Río Ubierna,09141
99064,Merindad de Río Ubierna,09142
99064,Merindad de Río Ubierna,09197
99064,Merindad de Río Ubierna,09591
92156,Merindad de Sotoscueva,09557
92156,Merindad de Sotoscueva,09567
92156,Merindad de Sotoscueva,09568
92169,Merindad de Valdeporres,09557
92169,Merindad de Valdeporres,09573
92169,Merindad de Valdeporres,09574
92194,Miranda de Ebro,09200
92194,Miranda de Ebro,09212
92194,Miranda de Ebro,09218
92194,Miranda de Ebro,09219
92194,Miranda de Ebro,09293
92194,Miranda de Ebro,26212
92208,Miraveche,09250
92208,Miraveche,09252
92387,Oña,09211
92387,Oña,09246
92387,Oña,09249
92387,Oña,09530
92387,Oña,09559
92387,Oña,09593
92501,Pampliega,09220
92501,Pampliega,09226
92501,Pampliega,09589
92560,Pedrosa de Duero,09314
92560,Pedrosa de Duero,09317
92616,Peñaranda de Duero,09410
92616,Peñaranda de Duero,09490
92729,Poza de la Sal,09246
92729,Poza de la Sal,09592
92740,Pradoluengo,09260
92740,Pradoluengo,09268
93082,Redecilla del Campo,09259
93082,Redecilla del Campo,09270
93142,Revilla del Campo,09194
93142,Revilla del Campo,09647
93253,Royuela de Río Franco,09344
93253,Royuela de Río Franco,09345
93039,Rábanos,09199
93039,Rábanos,09268
93039,Rábanos,09269
93305,Salas de los Infantes,09600
93305,Salas de los Infantes,09613
93305,Salas de los Infantes,09615
93569,Santibáñez del Val,09617
93569,Santibáñez del Val,09618
93615,Sargentes de la Lora,09143
93615,Sargentes de la Lora,09144
93615,Sargentes de la Lora,09145
93636,Sasamón,09109
93636,Sasamón,09123
93692,Sotillo de la Ribera,09440
93692,Sotillo de la Ribera,09441
93728,Sotragero,09004
93728,Sotragero,09197
93734,Sotresgudo,09135
93734,Sotresgudo,09136
93734,Sotresgudo,34492
93811,Tinieblas de la Sierra,09640
